ID,RiskScore
0,34.98087043951821
1,50.53349563993464
2,29.853340076101183
3,37.85057703330736
4,33.284762126671744
5,69.59544745099255
6,30.48545562701973
7,31.38352275523615
8,38.92237167220431
9,64.80055162052874
10,34.08871401656873
11,34.19581096228562
12,65.13277855203289
13,36.329152776816095
14,33.65841940380803
15,60.44916097116333
16,19.86466833444799
17,37.210139163282896
18,64.68025082972976
19,67.5413739622629
20,71.1912579575049
21,32.164656463882636
22,66.08749406630156
23,42.407523630153854
24,45.67186789138927
25,25.10681994050275
26,30.93754416491815
27,27.72678693729814
28,50.342223096762226
29,73.66654939660576
30,30.983188579602665
31,65.65986062280957
32,33.364032365933106
33,34.252257429459945
34,37.18648003582907
35,38.68438770840535
36,67.84953892979652
37,54.398005599615495
38,50.169701346454325
39,70.17744101623505
40,72.32362313987466
41,44.775015162476215
42,78.29087618803503
43,21.002126413249428
44,54.010021545912224
45,29.82207643063837
46,38.809137071988445
47,68.93805961155859
48,29.386435669991656
49,35.287325922188785
50,66.42112271330056
51,53.322182193904595
52,43.8177285950885
53,29.409415883483216
54,31.28034734343188
55,38.136542913394486
56,69.71480993584653
57,39.092969779261125
58,42.55518976230706
59,57.036836134683035
60,68.13579818663351
61,46.805862250705786
62,35.76979198989475
63,84.84354346694887
64,28.033036931593767
65,33.14872913740612
66,56.64493051047365
67,64.51648409599294
68,37.3787112887652
69,71.28844723049997
70,33.53213854891972
71,43.08454390372906
72,46.29250770944566
73,51.64153143087648
74,44.25279506438445
75,68.0665458299425
76,68.27117319205658
77,23.45941970318996
78,49.39687950499062
79,56.53519013113017
80,74.23297676772945
81,53.91099974918311
82,61.144456388917064
83,33.127762440191425
84,72.78464046357256
85,73.72170219586611
86,62.584656817053364
87,21.266525809719013
88,38.56980564822122
89,69.70334870756083
90,37.56425947129895
91,48.83961057263288
92,39.63554383997652
93,32.821563090877106
94,37.52414628488969
95,38.26995795294575
96,32.896860788612614
97,68.21888647253893
98,36.25464528937555
99,61.19685125359881
100,33.64660359243579
101,33.418327144395484
102,68.82225299538547
103,78.0257690180085
104,31.7207634344492
105,80.46367026858059
106,74.25879053462029
107,70.85321862449084
108,40.10907096857952
109,74.19382695203949
110,53.99384072435484
111,67.62174225025036
112,72.91062753032013
113,67.58630753643968
114,67.53692035346396
115,31.299806905896887
116,69.57760458024585
117,53.81446254853356
118,39.92358793856802
119,46.26777253610042
120,26.2834952355428
121,74.09396973272021
122,34.29081156233264
123,50.315506210341134
124,37.010557823678944
125,63.908048011099744
126,20.679724255673477
127,31.623500827063484
128,35.57192133516365
129,68.38827975194697
130,29.788075223835456
131,71.12712361997605
132,72.32648533363275
133,76.87929492773036
134,22.003905466116695
135,37.0718776870145
136,18.55338675942114
137,42.01142540281379
138,31.518292055963272
139,51.18422091293294
140,38.94926856581899
141,37.901846534931174
142,25.15703793381136
143,26.70202705383702
144,67.53450546574254
145,33.571945493821026
146,44.71867422978902
147,64.32820033884978
148,65.73537493987243
149,70.3580372806609
150,43.32232473919071
151,32.48647288307781
152,74.92154716925887
153,49.47188753148174
154,62.563774856359395
155,29.145298739677898
156,67.63882656681177
157,65.14042446546785
158,70.18755292883918
159,77.84452742861934
160,33.892323053880794
161,36.88048098955853
162,71.91634761208834
163,41.594864223663066
164,42.97695460272692
165,49.08247606257107
166,36.82087122501896
167,36.18160333638622
168,33.538677958126286
169,28.28488961857603
170,39.207659758430374
171,48.0835581943385
172,66.69546024688404
173,49.96910397943121
174,32.88968128733751
175,60.538685499646824
176,46.239811548517125
177,43.233117031901784
178,47.08496784882701
179,74.25762506269024
180,48.46765655043297
181,26.864463834154286
182,60.84301661251827
183,71.97124273886783
184,72.38983786219177
185,64.81065367816484
186,76.06837687980352
187,60.701119861288575
188,32.377577622103225
189,17.305169469671807
190,29.51811198515487
191,70.86743644532879
192,54.50625424581491
193,29.043468056024352
194,66.40009362102062
195,24.76278170261144
196,37.056691741429134
197,59.3937734870738
198,66.89853377060122
199,33.02665451191287
200,32.778472109852736
201,53.10606279043866
202,31.284291633624537
203,34.08303282370573
204,73.16760086014183
205,62.80938089428097
206,68.24050975615458
207,39.51469450902509
208,49.768450458527134
209,62.11486531501681
210,34.001339665324494
211,29.453045488194974
212,72.71629271888806
213,65.71275847800774
214,38.241035438711364
215,55.774556772296116
216,64.34358614753307
217,61.01171585346712
218,45.917631045660755
219,34.34162142595585
220,31.31043601307046
221,33.72940157896879
222,30.583289528722773
223,49.71641046004713
224,28.808527994325207
225,64.97251964280542
226,58.55610869913936
227,36.59428906891443
228,38.264888878316256
229,41.023794764455246
230,48.411197889618066
231,45.686085317697895
232,37.91759368096281
233,49.33628577828478
234,74.20193969587096
235,61.11156193924232
236,31.569399375765748
237,49.598039485248094
238,67.29638111699069
239,31.85064431158462
240,67.18919517696463
241,70.21088593688447
242,41.66543382084681
243,67.61897302353397
244,68.2364742098779
245,65.06327575125107
246,20.224522409562432
247,46.000807309313466
248,77.403135889715
249,21.587259242217286
250,63.7701399550889
251,33.01523616569525
252,37.120580133361386
253,53.42600863322491
254,53.2521779762978
255,30.168494145192657
256,49.78612997579371
257,72.41694371368858
258,63.627857465868395
259,36.41123473368234
260,46.30200923090543
261,44.68463574967398
262,27.729523936119307
263,75.56671283936902
264,64.23360735553396
265,29.447724631700183
266,47.68339081403198
267,31.11857186345094
268,67.22290243659472
269,74.35779898585088
270,56.50648605127382
271,78.10759343149942
272,33.37981128405321
273,43.85854007268468
274,31.416457849504237
275,49.72718477307083
276,64.68489890336322
277,35.11989310805263
278,57.811071021874184
279,29.141745805854164
280,62.603438549944954
281,62.03656800493196
282,54.38917253948572
283,52.20106593485253
284,35.35471101917775
285,29.803406825837147
286,31.495452491250116
287,69.38303140042915
288,47.684659982887226
289,35.42543285601815
290,52.468555155178066
291,40.92967851196116
292,53.19266418173564
293,71.22160557497776
294,33.50218172208976
295,67.8008267571758
296,74.71359303179186
297,30.05729378237387
298,40.07572222086851
299,67.8668162867662
300,45.21983399082903
301,76.50204440310935
302,59.36000661595639
303,36.764010646573446
304,57.83545031083876
305,27.15322270513785
306,36.772792819453166
307,68.48816583215034
308,54.2203914838511
309,30.24932886529978
310,71.94892483604116
311,53.72250737467281
312,43.51532076383845
313,46.81002954816604
314,66.9444245789024
315,72.0351854803298
316,42.02913531032302
317,33.70855293705927
318,63.065563041143456
319,35.55293089612574
320,28.388502635804436
321,36.703269519674954
322,73.76253670351268
323,62.27112076572697
324,88.47945661316325
325,36.074247429673164
326,70.00554479647151
327,32.825259867934165
328,44.598748670128316
329,28.53105619696322
330,39.07063128524801
331,74.22440874464978
332,25.415229282805214
333,72.11025775643023
334,57.003870225176215
335,61.05422913384048
336,58.86932108252184
337,27.100465056771228
338,36.612326724238066
339,41.312937293622376
340,70.40255458033367
341,77.33435551432585
342,70.58648435871461
343,62.62650322533497
344,30.785904787664773
345,34.6958149744029
346,35.89116963521001
347,36.61427103828589
348,37.62880309164241
349,25.752555276015283
350,47.44431441835103
351,31.056814049885805
352,53.72678135571316
353,22.30553448314615
354,27.332960523451288
355,32.282836299448356
356,23.002760804182053
357,27.838137675808422
358,31.261727251878018
359,68.64302486823492
360,32.56816136116339
361,27.98931326290535
362,33.58946148542336
363,59.76495741960052
364,50.14350627108577
365,45.8518066215716
366,50.470456848252304
367,30.94961491422468
368,62.376999821132394
